year,make,model,trim,body,transmission,state,condition,odometer,mmr,sellingprice
2014,Toyota,Corolla,LE Plus,Sedan,automatic,fl,4.0,19321.0,13600.0,14000.0
2008,Dodge,Charger,Base,Sedan,automatic,fl,31.0,103861.0,6425.0,4500.0
2013,Hyundai,Sonata,GLS,Sedan,automatic,fl,27.0,63344.0,10900.0,9600.0
2006,Suzuki,Forenza,Base,Wagon,automatic,ca,19.0,117675.0,1075.0,1500.0
2006,Infiniti,M35,Base,Sedan,automatic,tx,28.0,57508.0,12550.0,11200.0
2000,Ford,Escort,Base,Sedan,automatic,mi,23.0,111469.0,925.0,400.0
2001,Toyota,Corolla,S,Sedan,automatic,fl,29.0,148224.0,1525.0,2500.0
2013,Jeep,Wrangler,Unlimited Sahara,SUV,manual,mi,49.0,19367.0,30300.0,26600.0
2011,Infiniti,G Coupe,G37x,G Coupe,automatic,nj,42.0,40553.0,20200.0,20400.0
2014,Ford,Escape,SE,SUV,automatic,hi,45.0,23615.0,17950.0,17750.0
2014,Toyota,Camry,SE,Sedan,automatic,co,49.0,10875.0,17200.0,17100.0
2012,Audi,A4,2.0T Premium quattro,sedan,automatic,ca,44.0,12454.0,21900.0,22750.0
2008,Saturn,Aura,XR,Sedan,automatic,nc,37.0,100645.0,5125.0,5400.0
2012,Chevrolet,Avalanche,LT,crew cab,,pa,36.0,33694.0,29000.0,28800.0
1998,Isuzu,Rodeo,S,SUV,manual,nj,25.0,148677.0,675.0,850.0
2012,Ford,Fusion,SE,sedan,automatic,nc,41.0,38562.0,11050.0,11500.0
2010,Buick,Enclave,CXL1,SUV,automatic,ne,35.0,88691.0,15750.0,17100.0
2014,Dodge,Grand Caravan,R/T,Minivan,automatic,va,5.0,10252.0,19450.0,19500.0
2002,Honda,Accord,EX,Coupe,automatic,md,2.0,111137.0,2425.0,2000.0
2013,Chevrolet,Cruze,2LT,Sedan,automatic,ga,41.0,38900.0,11450.0,12200.0
2011,Chevrolet,Impala,LS Fleet,Sedan,automatic,tn,35.0,78569.0,7250.0,8900.0
2005,Chevrolet,Silverado 1500,Base,Extended Cab,automatic,mn,26.0,110232.0,8425.0,7800.0
2013,Ford,Focus,SE,Sedan,automatic,fl,42.0,54554.0,9000.0,9100.0
1999,Mercury,Cougar,V6,Hatchback,automatic,pa,19.0,142028.0,950.0,600.0
2014,Nissan,Sentra,FE+ SV,Sedan,automatic,ga,2.0,8041.0,13050.0,10400.0
2001,Mercedes-Benz,CL-Class,CL500,Coupe,automatic,ca,29.0,94336.0,4850.0,7500.0
2005,Lincoln,Town Car,Signature,Sedan,automatic,pa,41.0,67439.0,5675.0,8100.0
2010,Chrysler,Town and Country,Touring,Minivan,automatic,ga,36.0,62920.0,9050.0,8100.0
2012,Mercedes-Benz,CLS-Class,CLS63 AMG,sedan,automatic,ca,37.0,12535.0,66000.0,54000.0
2013,Hyundai,Elantra,Limited,Sedan,automatic,fl,34.0,42454.0,11000.0,10700.0
2010,Dodge,Journey,SXT,SUV,automatic,il,25.0,72152.0,9250.0,10900.0
2004,Volvo,XC90,2.5T,SUV,automatic,nj,3.0,111772.0,4425.0,5200.0
2000,Mercedes-Benz,E-Class,E430,Sedan,automatic,va,19.0,112418.0,2625.0,1700.0
2000,honda,odyssey,ex,,automatic,ca,35.0,139702.0,1575.0,2450.0
2011,Ford,Fiesta,SE,sedan,automatic,ca,44.0,69821.0,6625.0,6800.0
2010,Lexus,RX 350,Base,SUV,,mo,33.0,92345.0,18500.0,16200.0
2001,Mitsubishi,Eclipse,GT,Hatchback,manual,wi,34.0,171373.0,800.0,1150.0
2010,Mazda,Mazda5,Sport,Minivan,automatic,tx,28.0,86993.0,6350.0,7100.0
2013,Ford,Fiesta,SE,Sedan,automatic,ca,44.0,42286.0,8725.0,9200.0
2013,Honda,Odyssey,EX-L,Minivan,automatic,mi,36.0,48672.0,24300.0,24300.0
2012,Nissan,Altima,2.5,sedan,automatic,fl,49.0,10753.0,13050.0,15000.0
2013,Dodge,Grand Caravan,SXT,Minivan,automatic,nc,43.0,35975.0,14250.0,15100.0
2013,Toyota,Prius,Two,Hatchback,automatic,tx,46.0,53251.0,11300.0,12200.0
2014,Dodge,Grand Caravan,SXT,Minivan,,va,4.0,28595.0,16250.0,17300.0
2014,Nissan,Versa Note,1.6 SV,hatchback,automatic,il,26.0,36848.0,9425.0,9800.0
2013,Nissan,Leaf,SV,Hatchback,automatic,wa,46.0,23880.0,12250.0,13100.0
2007,Honda,Civic,EX,Coupe,automatic,va,19.0,105803.0,5325.0,4700.0
2013,Chevrolet,Equinox,LS,SUV,automatic,tx,47.0,51478.0,13400.0,13100.0
2012,Hyundai,Sonata Hybrid,Base,Sedan,automatic,ma,39.0,33447.0,14750.0,13800.0
2007,Honda,Accord,EX-L,Coupe,automatic,nc,27.0,154892.0,3900.0,3900.0
2010,GMC,Sierra 1500,SLE,crew cab,automatic,mi,44.0,49134.0,22900.0,23800.0
2013,Hyundai,Sonata,GLS,Sedan,automatic,ne,35.0,45991.0,12000.0,11900.0
2007,Chevrolet,Cobalt,LT,Coupe,automatic,mo,2.0,76214.0,3675.0,3700.0
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,fl,38.0,38548.0,18850.0,18100.0
2014,Jeep,Patriot,Sport,SUV,automatic,tn,19.0,10404.0,14400.0,7000.0
2010,Hyundai,Santa Fe,GLS,suv,,pa,39.0,86208.0,9850.0,10000.0
2007,Pontiac,G6,GT,Sedan,automatic,tx,19.0,135093.0,3650.0,3000.0
2010,Jeep,Wrangler,Sahara,SUV,manual,mi,42.0,78764.0,17100.0,16000.0
2004,Lexus,LS 430,Base,Sedan,automatic,ca,29.0,132052.0,10650.0,9600.0
2014,Honda,CR-V,EX-L,SUV,automatic,ga,45.0,14957.0,23900.0,23000.0
2012,Honda,Odyssey,EX-L,Minivan,automatic,pa,37.0,26338.0,22900.0,23400.0
2014,Jeep,Grand Cherokee,Limited,suv,,pa,37.0,28588.0,29600.0,32000.0
2014,Kia,Cadenza,Premium,Sedan,,ga,47.0,6346.0,21000.0,23100.0
2001,Lexus,LS 430,Base,Sedan,automatic,ga,2.0,146213.0,6075.0,3500.0
2008,Cadillac,DTS,Base,Sedan,automatic,pa,37.0,80918.0,8450.0,9800.0
2011,Chevrolet,Express Cargo,2500,Van,automatic,fl,19.0,139131.0,10450.0,11900.0
1998,Chevrolet,Malibu,LS,Sedan,automatic,tx,2.0,246083.0,475.0,600.0
2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,mn,4.0,37619.0,14500.0,14200.0
2012,Jeep,Liberty,Sport,SUV,automatic,ca,38.0,44163.0,14650.0,14500.0
2014,Kia,Soul,!,Wagon,automatic,mi,46.0,20832.0,16000.0,15900.0
2013,Ford,Focus,SE,Sedan,automatic,ca,34.0,32780.0,10750.0,11400.0
2011,Chevrolet,Camaro,2SS,Coupe,manual,nj,37.0,29856.0,22600.0,20600.0
2005,Chevrolet,Express Cargo,3500,Van,automatic,mi,2.0,151159.0,4400.0,3700.0
2014,Dodge,Charger,SE,Sedan,automatic,tx,37.0,11519.0,17200.0,18200.0
2005,Toyota,Avalon,Limited,sedan,automatic,ca,28.0,90199.0,7550.0,8300.0
2003,Hyundai,Santa Fe,Base,SUV,automatic,nc,,140905.0,1425.0,2400.0
2011,Chevrolet,Aveo,Aveo5 1LT,hatchback,manual,wa,2.0,33432.0,6150.0,4100.0
2012,Land Rover,Range Rover Evoque,Pure Plus,SUV,automatic,pa,47.0,14632.0,37300.0,38000.0
2014,Kia,Rio,LX,Sedan,automatic,mo,36.0,30036.0,10150.0,10100.0
2007,Pontiac,Solstice,GXP,convertible,automatic,fl,4.0,33776.0,9850.0,13900.0
2012,Ford,Fusion,SEL,Sedan,automatic,mi,35.0,34400.0,13200.0,13100.0
2004,Audi,A4,3.0 quattro,Sedan,automatic,ca,25.0,111965.0,4525.0,3300.0
1998,Nissan,Frontier,Base,Regular Cab,manual,va,39.0,186653.0,1900.0,2500.0
1998,Ford,F-150,XL,extended cab,manual,tx,2.0,201147.0,1200.0,1500.0
2011,Hyundai,Tucson,GLS,SUV,,pa,45.0,30384.0,13850.0,13600.0
2012,Ford,Fusion,SEL,Sedan,automatic,tn,39.0,36794.0,12600.0,12500.0
2005,BMW,3 Series,330Ci,Convertible,manual,ga,37.0,64428.0,9300.0,10500.0
2005,,,,,,nj,19.0,99483.0,3975.0,3500.0
2000,Ford,Focus,SE,Sedan,automatic,fl,,76723.0,1750.0,1050.0
2012,Toyota,Corolla,LE,Sedan,automatic,oh,24.0,63149.0,9350.0,8100.0
2007,Chrysler,300,Touring,Sedan,automatic,ca,39.0,26659.0,10300.0,11400.0
2011,Dodge,Charger,Base,Sedan,automatic,tx,19.0,96348.0,10100.0,10600.0
2011,Mazda,Mazda3,i Touring,Sedan,manual,nj,25.0,19918.0,10250.0,9700.0
2013,Toyota,Prius,Two,Hatchback,automatic,wi,42.0,26811.0,15550.0,15600.0
2003,Honda,Accord,EX V-6,Sedan,automatic,il,28.0,58867.0,5825.0,6500.0
2013,Chevrolet,Impala,LTZ,Sedan,automatic,tn,31.0,62091.0,11000.0,11100.0
2014,Ford,F-150,XLT,SuperCrew,automatic,pa,49.0,9749.0,27800.0,27750.0
2014,Ford,Fusion,SE,Sedan,,co,33.0,31680.0,13150.0,13500.0
2005,Dodge,Durango,SLT,SUV,automatic,tn,25.0,198294.0,1675.0,2500.0
2012,Ford,Fusion,SEL,Sedan,automatic,ca,43.0,60820.0,10700.0,11250.0
2008,BMW,X5,4.8i,SUV,,nj,25.0,86446.0,16700.0,14500.0
2007,Honda,Odyssey,EX-L,Minivan,automatic,ga,26.0,165219.0,5550.0,5350.0
2015,,,,,automatic,fl,45.0,11459.0,71000.0,70200.0
2008,Chevrolet,Malibu,LS,Sedan,automatic,ny,37.0,87373.0,5925.0,6600.0
2012,Chrysler,Town and Country,Touring,Minivan,automatic,pa,31.0,36768.0,16200.0,14600.0
2013,Ford,Escape,SE,SUV,automatic,mo,46.0,19391.0,16750.0,15200.0
2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,,fl,3.0,77917.0,12800.0,8000.0
2005,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,pa,48.0,47744.0,20000.0,24250.0
2010,Chevrolet,Impala,LT,Sedan,automatic,ne,29.0,42587.0,8650.0,9300.0
2013,Kia,Soul,+,Wagon,automatic,ne,29.0,48449.0,10450.0,9700.0
2003,Honda,Pilot,EX,SUV,automatic,wi,19.0,139537.0,3850.0,3400.0
2014,Lincoln,MKX,Base,SUV,automatic,il,46.0,25919.0,33200.0,35400.0
2012,Ford,Fusion,S,Sedan,automatic,tx,43.0,72125.0,8725.0,8700.0
2012,Hyundai,Sonata,GLS,Sedan,automatic,oh,44.0,42698.0,11450.0,11600.0
2001,Honda,Civic,LX,Sedan,automatic,fl,2.0,132207.0,2275.0,2500.0
2013,Nissan,Altima,2.5,Sedan,automatic,mo,19.0,50903.0,12300.0,11001.0
2006,Mercedes-Benz,C-Class,C230 Sport,Sedan,automatic,pr,28.0,93852.0,5475.0,4800.0
2014,Hyundai,Elantra GT,Base,Hatchback,automatic,mo,35.0,26750.0,13450.0,13500.0
2007,Pontiac,Grand Prix,GT,Sedan,automatic,pa,41.0,95607.0,5325.0,5900.0
2006,Toyota,Camry,LE,Sedan,automatic,ca,35.0,144915.0,4800.0,4800.0
2012,Toyota,Camry,LE,Sedan,automatic,oh,35.0,39614.0,12450.0,12000.0
2013,Audi,A6,2.0T Premium Plus quattro,Sedan,automatic,ca,42.0,23247.0,31500.0,30500.0
2013,Ford,Explorer,XLT,SUV,automatic,az,26.0,62059.0,20600.0,19700.0
2011,Ram,1500,SLT,Regular Cab,automatic,mi,34.0,27597.0,13900.0,12200.0
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,fl,4.0,29462.0,16400.0,15400.0
2012,Ford,Escape,XLT,SUV,automatic,mn,43.0,30032.0,14800.0,14600.0
2009,Hyundai,Santa Fe,Limited,SUV,automatic,fl,,41928.0,12850.0,13600.0
2015,GMC,Terrain,SLE-2,SUV,automatic,fl,2.0,10694.0,24400.0,22200.0
2012,Lexus,ES 350,Base,Sedan,automatic,fl,34.0,26345.0,22300.0,20400.0
1996,Chevrolet,Blazer,LS,SUV,automatic,fl,1.0,197236.0,600.0,600.0
2006,Hyundai,Elantra,GT,Hatchback,automatic,sc,27.0,95193.0,2375.0,2700.0
2002,Volvo,S60,2.4,Sedan,automatic,ma,25.0,112876.0,2300.0,1850.0
2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,tx,43.0,18424.0,24000.0,23750.0
2013,Ford,Fusion,Titanium,Sedan,automatic,il,47.0,38902.0,17200.0,18500.0
2014,Kia,Rio,LX,Sedan,automatic,ca,1.0,25944.0,10800.0,7500.0
2013,Ford,Edge,Limited,SUV,,pa,45.0,36287.0,22000.0,20000.0
2013,Jeep,Wrangler,Unlimited Sport,SUV,automatic,fl,21.0,34394.0,25000.0,24000.0
2005,Chevrolet,TrailBlazer,LS,SUV,automatic,ga,34.0,149985.0,2725.0,3000.0
2006,Chevrolet,TrailBlazer,LS,SUV,automatic,az,27.0,147038.0,3050.0,2000.0
2013,Mazda,Mazda3,i Sport,Sedan,automatic,oh,47.0,41200.0,10950.0,10500.0
2014,Ford,F-250 Super Duty,Platinum,Crew Cab,automatic,tx,44.0,9572.0,50500.0,57500.0
2005,Hyundai,Tucson,GL,SUV,automatic,fl,28.0,125062.0,2950.0,4100.0
2009,Infiniti,G37,x,sedan,,pa,46.0,46865.0,16350.0,17000.0
2014,Ford,Fusion,Titanium,Sedan,automatic,pa,48.0,17319.0,20400.0,20300.0
2009,Chevrolet,Corvette,Base,Coupe,manual,pa,48.0,4863.0,35700.0,36250.0
2008,GMC,Yukon,SLE,suv,automatic,sc,31.0,125533.0,13200.0,14800.0
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,az,39.0,38517.0,15950.0,16700.0
2012,Chevrolet,Equinox,LS,SUV,automatic,oh,39.0,86612.0,10800.0,10500.0
2013,Nissan,Altima,2.5,sedan,,ca,33.0,30929.0,12500.0,12500.0
2013,Ford,Focus,SE,Sedan,automatic,ca,26.0,54719.0,9750.0,9600.0
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,ne,39.0,11936.0,29100.0,28000.0
2012,Ford,Escape,Limited,SUV,automatic,wi,49.0,41273.0,17950.0,17500.0
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,il,43.0,12649.0,29700.0,30100.0
2011,Hyundai,Sonata,GLS,Sedan,automatic,ca,45.0,55604.0,9675.0,8400.0
2014,Chevrolet,Cruze,LS,Sedan,automatic,nj,35.0,905.0,12750.0,11500.0
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,fl,33.0,45226.0,16550.0,17000.0
2010,,,,,automatic,nj,36.0,97626.0,6775.0,6500.0
2006,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,,pa,34.0,80609.0,8975.0,9500.0
2010,Mercury,Mariner,Base,SUV,automatic,nc,37.0,98980.0,6400.0,5100.0
2008,Honda,Accord,LX-P,sedan,automatic,nc,29.0,147643.0,6275.0,6700.0
2013,Chrysler,Town and Country,Touring-L,minivan,automatic,ny,48.0,34648.0,20100.0,18400.0
2011,Nissan,Leaf,SV,Hatchback,automatic,ca,44.0,30257.0,7450.0,7250.0
2013,Dodge,Durango,SXT,SUV,automatic,tn,36.0,12612.0,24900.0,24600.0
2014,Nissan,Maxima,3.5 SV,Sedan,automatic,fl,44.0,23222.0,16700.0,18200.0
2014,Subaru,Outback,2.5i Premium PZEV,wagon,automatic,nj,46.0,21428.0,22800.0,24000.0
2014,Chrysler,Town and Country,Touring,Minivan,automatic,ne,38.0,46680.0,17300.0,16500.0
2013,Nissan,Rogue,SV,SUV,automatic,nv,38.0,49566.0,13550.0,16500.0
2011,Ford,Fusion,SE,Sedan,automatic,il,19.0,83980.0,7875.0,6700.0
2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,ca,39.0,12459.0,29400.0,29000.0
2015,,,,,,co,3.0,20600.0,19350.0,19200.0
2012,Ford,F-150,XLT,SuperCrew,,pa,43.0,32396.0,26500.0,26600.0
2010,Toyota,Corolla,S,sedan,automatic,ca,39.0,69397.0,8450.0,10100.0
2014,Mitsubishi,Mirage,ES,Hatchback,automatic,pr,39.0,13343.0,9650.0,9100.0
2004,chrysler,pacifica,fwd,,automatic,fl,,159735.0,2250.0,1800.0
2011,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,nj,3.0,43126.0,26000.0,26600.0
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,tn,41.0,33473.0,18200.0,17500.0
2014,Ford,Fusion,SE,sedan,,pa,36.0,33161.0,14150.0,13400.0
2015,Chevrolet,Cruze,LTZ,Sedan,automatic,fl,4.0,7845.0,16750.0,17500.0
2012,Dodge,Durango,R/T,SUV,automatic,wi,2.0,36556.0,28200.0,18750.0
2012,Chevrolet,Malibu,LS,Sedan,automatic,mo,42.0,36323.0,10350.0,9600.0
2014,Mazda,Mazda2,Touring,Hatchback,manual,mi,45.0,7040.0,12300.0,11900.0
2010,Ford,Edge,SE,SUV,automatic,fl,31.0,70002.0,10850.0,9400.0
2012,Chevrolet,Captiva Sport,2LS Fleet,SUV,automatic,mi,36.0,87737.0,8225.0,9000.0
2013,Ford,F-150,XLT,SuperCrew,automatic,tx,41.0,33184.0,22800.0,23500.0
2006,Hyundai,Tucson,Limited,SUV,automatic,ca,19.0,125888.0,4500.0,600.0
2009,Honda,Accord,EX-L V-6,sedan,automatic,pa,37.0,57594.0,11350.0,11900.0
2013,Dodge,Grand Caravan,SXT,Minivan,automatic,ca,29.0,66330.0,11050.0,11000.0
2011,Chevrolet,Malibu,LT1,Sedan,automatic,nj,29.0,66669.0,8875.0,7200.0
2008,Dodge,Charger,Base,sedan,automatic,ms,17.0,81398.0,7750.0,1250.0
2011,Subaru,Outback,2.5i Premium,Wagon,automatic,mn,48.0,92396.0,12250.0,12700.0
2013,Ford,Escape,SE,SUV,automatic,mo,43.0,26837.0,16200.0,16800.0
2005,Nissan,Maxima,3.5 SL,Sedan,automatic,ut,19.0,133537.0,3675.0,2800.0
2012,Hyundai,Veracruz,Limited,SUV,,pa,44.0,55454.0,18100.0,18800.0
2012,Ford,Focus,SEL,Hatchback,automatic,mo,46.0,24694.0,11950.0,12200.0
2015,Nissan,Versa,1.6 SL,sedan,automatic,il,42.0,4446.0,12000.0,12300.0
2012,Lexus,IS 250,Base,Sedan,automatic,ca,34.0,33664.0,21600.0,19500.0
2005,Ford,Escape,XLT,SUV,,qc,32.0,151306.0,2325.0,1700.0
2012,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,ut,34.0,80764.0,28600.0,26700.0
2005,Cadillac,CTS,Base,Sedan,automatic,nj,4.0,121082.0,3575.0,900.0
2012,Ford,Fusion,S,sedan,automatic,oh,43.0,74440.0,8600.0,8500.0
2013,Nissan,Sentra,SR,Sedan,automatic,mo,5.0,46134.0,10850.0,13000.0
2013,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,pa,49.0,26358.0,30400.0,30200.0
2003,Lincoln,LS,Premium,Sedan,automatic,ca,26.0,95782.0,1425.0,2000.0
